_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67630cc01df1c69f1564dc17,,36.58,95.1,40.18,58.02,183;3;0;3,time,60,-1,0,60.03,1,0,false,false,english,none,normal,false,false,false,,1734544576000
67630b651df1c69f1564c465,,38.39,96.21,41.79,66.97,192;3;0;2,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1734544229000
67630b241df1c69f1564bfdf,true,46.19,100,46.19,72.42,231;0;0;0,time,60,-1,0,60.02,0,0,false,false,english,none,normal,false,false,false,,1734544164000
67630ade1df1c69f1564bb5a,,39.79,98.55,41.19,70.81,199;0;0;2,time,60,-1,0,60.02,0,0,false,false,english,none,normal,false,false,false,,1734544094000
67630a601df1c69f1564b2f6,true,41.98,98.13,41.98,67.08,210;0;0;0,time,60,-1,0,60.03,0,0,false,false,english,none,normal,false,false,false,,1734543968000
6763084a1df1c69f15649174,true,39.99,97.62,41.39,63.31,200;1;0;0,time,60,-1,0,60.01,2,0,false,false,english,none,normal,false,false,false,,1734543434000
6762f1081df1c69f1562fe2f,true,33.4,92.19,37.2,53.09,167;6;1;0,time,60,-1,0,60,2,0,false,false,english,none,normal,false,false,false,,1734537480000
6762f0ac1df1c69f1562f770,true,35.11,96.31,36.79,59.79,230;4;0;0,words,50,-1,0,78.6,2,0,false,false,english,none,normal,false,false,false,,1734537388000
6762f0101df1c69f1562ec62,,36.79,96.97,39.19,64.89,92;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1734537232000
6762efdb1df1c69f1562e8aa,true,38.38,94.12,38.38,56.68,96;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1734537179000